DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200152;Bohattaweg;Wien;90001;1.622.971;48.137.941
60200153;Borkowskigasse;Wien;90001;16.330.195;48.237.125
60200155;Maculang./Wagramer Straße;Wien;90001;16.453.686;48.262.487
60200156;Braillegasse;Wien;90001;1.629.464;48.202.776
60200157;Brandstätte;Wien;90001;16.370.538;48.210.265
60200158;Braungasse;Wien;90001;1.629.605;48.226.922
60200159;Grimmgasse;Wien;90001;16.328.039;48.186.877
60200160;Braunhubergasse;Wien;90001;1.641.867;48.171.788
60200161;Braunschweiggasse;Wien;90001;16.295.457;48.189.488
60200162;Scheffelstraße;Wien;90001;16.405.546;48.251.662
60200163;Breiteneckergasse;Wien;90001;16.329.288;48.144.025
60200164;Breitenlee Friedhof;Wien;90001;16.492.916;48.251.165
60200165;Breitenlee Ort;Wien;90001;16.497.587;48.251.195
60200166;Breitensee;Wien;90001;16.306.363;48.198.243
60200167;Roschégasse;Wien;90001;16.450.291;48.153.932
60200168;Bretschneidergasse;Wien;90001;16.348.125;4.825.424
60200169;Brigittagasse;Wien;90001;16.374.725;48.233.277
60200170;Brigittaplatz;Wien;90001;16.370.332;48.232.643
60200171;Brockhausengasse;Wien;90001;16.477.007;48.207.691
60200172;Thaliastraße/Brunnengasse;Wien;90001;16.335.432;4.820.905
60200173;Neulerchenf. Str/Brunneng;Wien;90001;16.335.944;48.211.091
60200174;Brunner Str./Erlaaer Str.;Wien;90001;16.296.814;48.146.195
60200175;Brückengasse;Wien;90001;16.347.604;48.191.303
60200176;Brünner Straße;Wien;90001;16.403.704;48.267.756
60200177;Bergtaidingweg;Wien;90001;16.397.317;48.146.608
60200178;Brünnlbadgasse;Wien;90001;16.345.736;48.215.395
60200179;Brüßlgasse;Wien;90001;16.320.376;48.206.062
60200180;Bubergasse;Wien;90001;16.451.477;48.270.452
60200181;Buchbindergasse;Wien;90001;16.270.331;48.163.694
60200182;Grünhaufenbrücke;Wien;90001;1.645.233;48.192.201
60200183;Computerstr./G.-Schoder-G;Wien;90001;1.633.687;48.159.973
60200184;Hütteldorf, Bujattigasse;Wien;90001;16.255.141;48.202.632
60200185;Bundessportbad;Wien;90001;16.420.566;48.240.206
60200186;Bunsengasse;Wien;90001;16.391.074;48.263.103
60200187;Burgersteingasse;Wien;90001;16.298.251;48.202.566
60200188;Burggasse-Stadthalle;Wien;90001;1.633.731;48.202.297
60200189;Campingplatz Wien-West 2;Wien;90001;16.249.544;48.214.509
60200190;Burgring;Wien;90001;1.636.372;48.203.925
60200191;Burgstall;Wien;90001;16.361.295;48.269.992
60200192;Rathausplatz/Burgtheater;Wien;90001;16.360.657;48.210.445
60200193;Bärenmühldurchgang;Wien;90001;16.366.289;48.199.512
60200194;Börnergasse;Wien;90001;16.331.632;48.247.564
60200195;Börse;Wien;90001;16.366.002;48.215.563
60200197;Camillo-Sitte-Gasse;Wien;90001;16.327.302;48.205.003
60200198;Breitenft. Str./Willerg.;Wien;90001;16.257.117;48.137.965
60200199;Campingplatz Wien-Süd;Wien;90001;16.299.428;48.149.839
60200200;Campingplatz Wien-West 1;Wien;90001;16.253.515;48.211.283
60200201;Campingplatzweg;Wien;90001;1.648.113;48.275.828
60200202;Canisiusgasse;Wien;90001;16.354.809;48.228.047
60200203;Carabelligasse;Wien;90001;1.641.081;48.280.216
60200204;Carlbergergasse;Wien;90001;16.297.955;48.141.214
60200206;Celtesgasse;Wien;90001;1.629.623;48.251.823
60200207;Hafen Freudenau;Wien;90001;1.647.238;48.178.605
60200208;Chimanistraße;Wien;90001;16.343.867;48.239.506
60200209;Cobenzl Parkplatz;Wien;90001;16.321.436;48.263.988
60200210;Cobenzlgasse;Wien;90001;16.329.997;48.263.941
60200211;Columbusplatz;Wien;90001;16.373.718;48.182.038
60200212;Triester Str/Computerstr.;Wien;90001;16.342.017;48.157.636
60200213;Concordiaplatz;Wien;90001;16.370.062;48.213.701
60200214;Corvinusgasse;Wien;90001;16.280.743;48.144.564
60200215;Cottagegasse;Wien;90001;16.342.134;48.233.852
60200216;Cottagestraße;Wien;90001;16.226.296;48.215.168
60200217;Czartoryskigasse;Wien;90001;16.327.446;48.227.808
60200218;Dahliengasse;Wien;90001;16.444.901;48.286.911
60200219;Dammstraße;Wien;90001;16.375.138;482.346
60200220;Dampfkraftwerk Donaustadt;Wien;90001;16.460.091;48.198.027
60200221;Dampfschiffhaufen;Wien;90001;16.432.226;48.217.137
60200222;Danzergasse;Wien;90001;16.488.613;48.208.732
60200223;Daphneweg;Wien;90001;1.653.025;48.244.352
60200224;Daringergasse;Wien;90001;16.334.462;48.246.649
60200225;Davidgasse;Wien;90001;16.356.327;48.175.472
60200226;Deindorfstraße;Wien;90001;16.543.204;48.216.856
60200227;Deißenhofergasse;Wien;90001;1.628.059;48.158.547
60200228;Laxenbg. Str/Heizwerkstr.;Wien;90001;16.358.744;48.139.607
60200229;Dietmayrgasse;Wien;90001;1.636.867;48.239.315
60200230;Dirnelwiese;Wien;90001;16.379.297;48.292.912
60200231;Dobrowskygasse;Wien;90001;1.633.174;48.143.551
60200232;Doeltergasse;Wien;90001;16.438.253;48.259.491
60200233;Dommayergasse;Wien;90001;16.298.916;4.818.647
60200234;Donauinsel;Wien;90001;16.410.981;48.228.999
60200235;Floridsdorfer Brücke;Wien;90001;16.387.741;48.248.563
60200236;Donaustadtstraße;Wien;90001;16.443.688;48.233.684
60200237;Donauwarte;Wien;90001;16.345.978;48.284.556
60200238;Siebeckstraße;Wien;90001;16.434.651;48.241.833
60200239;Dopschstraße;Wien;90001;16.438.828;48.269.239
60200240;Dorfmeistergasse;Wien;90001;16.296.176;48.164.527
60200241;Dornbacher Straße;Wien;90001;16.301.871;48.228.161
60200242;Dostalgasse;Wien;90001;16.263.127;48.159.895
60200243;Dostgasse;Wien;90001;16.253.174;48.220.154
60200244;Dr.-Adolf-Schärf-Heim;Wien;90001;16.369.883;4.824.583
60200245;Stubentor;Wien;90001;16.380.276;48.207.068
60200246;Ring/Volkstheater U;Wien;90001;16.359.857;48.206.781
60200247;Dr.-Neumann-Gasse;Wien;90001;16.288.226;4.813.818
60200248;Dr.-Schober-Straße;Wien;90001;16.272.667;48.166.762
60200249;Draugasse;Wien;90001;16.438.631;4.828.547
60200250;Dunantgasse;Wien;90001;16.388.927;48.260.029
60200251;Dänenstraße;Wien;90001;16.334.552;48.237.101
60200252;Döblinger Bad;Wien;90001;1.635.727;48.251.231
60200253;Döblinger Friedhof;Wien;90001;16.329.396;48.239.111
60200254;Döblinger Steg;Wien;90001;163.654;48.240.774
60200255;Dörmanngasse;Wien;90001;16.534.086;48.222.476
60200256;Kraftwerk Simmering;Wien;90001;16.430.806;48.185.014
60200257;Eberstorferweg;Wien;90001;16.280.087;48.154.735
60200258;Edelsteingasse;Wien;90001;16.425.605;48.262.296
60200259;Edenstraße;Wien;90001;16.246.328;48.214.802
60200260;Edmund-Hawranek-Platz;Wien;90001;16.386.546;48.291.406
60200261;Eduard-Kittenberger-Gasse;Wien;90001;1.630.347;48.136.802
60200262;Albrechtskreithgasse;Wien;90001;16.320.466;4.821.928
60200263;Egon-Friedell-Gasse;Wien;90001;16.436.412;4.827.389
60200264;Eibesbrunnergasse;Wien;90001;16.337.462;48.171.033
60200266;Eichbachgasse;Wien;90001;16.247.379;48.221.632
60200267;Eichenstraße;Wien;90001;16.349.841;48.180.426
60200268;Einsiedeleigasse;Wien;90001;16.264.349;48.183.385
60200269;Einsiedlerplatz;Wien;90001;16.349.473;4.818.526
60200270;Luzegasse;Wien;90001;16.450.156;48.160.824
60200271;Eipeldauer Straße;Wien;90001;16.436.259;48.263.043
60200272;Eisenstadtplatz;Wien;90001;1.638.457;48.169.476
60200273;Eisstoßgasse;Wien;90001;16.440.921;48.217.957
60200274;Elderschplatz;Wien;90001;16.412.256;48.217.945
60200275;Elsbeergasse;Wien;90001;16.254.404;4.821.846
60200276;Elterleinplatz;Wien;90001;16.331.057;48.218.178
60200277;Embelgasse;Wien;90001;16.352.419;48.182.714
60200278;Endemanngasse;Wien;90001;16.290.436;48.153.093
60200279;Engerthstraße/Innstraße;Wien;90001;16.392.583;48.233.517
