Provincias	Tipo de dato	Periodo	Total
28 Madrid	Variación anual	2020M05	-0,7
28 Madrid	Variación anual	2020M04	-0,5
28 Madrid	Variación anual	2020M03	0,1
28 Madrid	Variación anual	2020M02	0,6
28 Madrid	Variación anual	2020M01	0,9
28 Madrid	Variación anual	2019M12	0,9
28 Madrid	Variación anual	2019M11	0,6
28 Madrid	Variación anual	2019M10	0,3
28 Madrid	Variación anual	2019M09	0,4
28 Madrid	Variación anual	2019M08	0,7
28 Madrid	Variación anual	2019M07	0,8
28 Madrid	Variación anual	2019M06	0,7
28 Madrid	Variación anual	2019M05	1,1
28 Madrid	Variación anual	2019M04	1,8
28 Madrid	Variación anual	2019M03	1,6
28 Madrid	Variación anual	2019M02	1,5
28 Madrid	Variación anual	2019M01	1,3
28 Madrid	Variación anual	2018M12	1,4
28 Madrid	Variación anual	2018M11	1,9
28 Madrid	Variación anual	2018M10	2,3
28 Madrid	Variación anual	2018M09	2,1
28 Madrid	Variación anual	2018M08	2,1
28 Madrid	Variación anual	2018M07	2,2
28 Madrid	Variación anual	2018M06	2,1
28 Madrid	Variación anual	2018M05	2,0
28 Madrid	Variación anual	2018M04	1,0
28 Madrid	Variación anual	2018M03	1,4
28 Madrid	Variación anual	2018M02	1,1
28 Madrid	Variación anual	2018M01	0,7
28 Madrid	Variación anual	2017M12	1,2
28 Madrid	Variación anual	2017M11	1,5
28 Madrid	Variación anual	2017M10	1,5
28 Madrid	Variación anual	2017M09	1,8
28 Madrid	Variación anual	2017M08	1,4
28 Madrid	Variación anual	2017M07	1,3
28 Madrid	Variación anual	2017M06	1,4
28 Madrid	Variación anual	2017M05	1,8
28 Madrid	Variación anual	2017M04	2,5
28 Madrid	Variación anual	2017M03	1,9
28 Madrid	Variación anual	2017M02	2,6
28 Madrid	Variación anual	2017M01	2,7
28 Madrid	Variación en lo que va de año	2020M10	-1,2
28 Madrid	Variación en lo que va de año	2020M09	-1,3
28 Madrid	Variación en lo que va de año	2020M08	-1,6
28 Madrid	Variación en lo que va de año	2020M07	-1,6
28 Madrid	Variación en lo que va de año	2020M06	-0,6
28 Madrid	Variación en lo que va de año	2020M05	-1,1
28 Madrid	Variación en lo que va de año	2020M04	-1,0
28 Madrid	Variación en lo que va de año	2020M03	-1,2
28 Madrid	Variación en lo que va de año	2020M02	-1,0
28 Madrid	Variación en lo que va de año	2020M01	-0,9
28 Madrid	Variación en lo que va de año	2019M12	0,9
28 Madrid	Variación en lo que va de año	2019M11	0,9
28 Madrid	Variación en lo que va de año	2019M10	0,7
28 Madrid	Variación en lo que va de año	2019M09	0,0
28 Madrid	Variación en lo que va de año	2019M08	-0,2
28 Madrid	Variación en lo que va de año	2019M07	-0,1
28 Madrid	Variación en lo que va de año	2019M06	0,3
28 Madrid	Variación en lo que va de año	2019M05	0,5
28 Madrid	Variación en lo que va de año	2019M04	0,4
28 Madrid	Variación en lo que va de año	2019M03	-0,4
28 Madrid	Variación en lo que va de año	2019M02	-0,7
28 Madrid	Variación en lo que va de año	2019M01	-1,0
28 Madrid	Variación en lo que va de año	2018M12	1,4
28 Madrid	Variación en lo que va de año	2018M11	1,7
28 Madrid	Variación en lo que va de año	2018M10	1,8
28 Madrid	Variación en lo que va de año	2018M09	1,0
28 Madrid	Variación en lo que va de año	2018M08	0,6
28 Madrid	Variación en lo que va de año	2018M07	0,6
28 Madrid	Variación en lo que va de año	2018M06	1,0
28 Madrid	Variación en lo que va de año	2018M05	0,8
28 Madrid	Variación en lo que va de año	2018M04	0,1
28 Madrid	Variación en lo que va de año	2018M03	-0,6
28 Madrid	Variación en lo que va de año	2018M02	-0,8
28 Madrid	Variación en lo que va de año	2018M01	-0,8
28 Madrid	Variación en lo que va de año	2017M12	1,2
28 Madrid	Variación en lo que va de año	2017M11	1,0
28 Madrid	Variación en lo que va de año	2017M10	0,7
28 Madrid	Variación en lo que va de año	2017M09	0,0
28 Madrid	Variación en lo que va de año	2017M08	-0,3
28 Madrid	Variación en lo que va de año	2017M07	-0,5
28 Madrid	Variación en lo que va de año	2017M06	0,1
28 Madrid	Variación en lo que va de año	2017M05	0,0
28 Madrid	Variación en lo que va de año	2017M04	0,2
28 Madrid	Variación en lo que va de año	2017M03	-0,8
28 Madrid	Variación en lo que va de año	2017M02	-0,7
28 Madrid	Variación en lo que va de año	2017M01	-0,4
