Year,Month,num_dias_lluvia
2001,07,13.0
2001,08,14.0
2001,09,20.0
2001,10,14.0
2001,11,13.0
2001,12,16.0
2002,01,16.0
2002,02,19.0
2002,03,13.0
2002,04,10.0
2002,05,14.0
2002,06,11.0
2002,07,16.0
2002,08,8.0
2002,09,9.0
2002,10,21.0
2002,11,15.0
2002,12,10.0
2003,01,16.0
2003,02,6.0
2003,03,7.0
2003,04,11.0
2003,05,12.0
2003,06,9.0
2003,07,17.0
2003,08,11.0
2003,09,7.0
2003,10,15.0
2003,11,13.0
2003,12,11.0
2004,01,18.0
2004,02,16.0
2004,03,8.0
2004,04,13.0
2004,05,13.0
2004,06,16.0
2004,07,20.0
2004,08,16.0
2004,09,11.0
2004,10,13.0
2004,11,18.0
2004,12,13.0
2005,01,17.0
2005,02,14.0
2005,03,9.0
2005,04,6.0
2005,05,17.0
2005,06,12.0
2005,07,18.0
2005,08,13.0
2005,09,10.0
2005,10,7.0
2005,11,13.0
2005,12,18.0
2006,01,6.0
2006,02,16.0
2006,03,15.0
2006,04,20.0
2006,05,14.0
2006,06,6.0
2006,07,6.0
2006,08,24.0
2006,09,8.0
2006,10,13.0
2006,11,15.0
2006,12,16.0
2007,01,26.0
2007,02,17.0
2007,03,12.0
2007,04,4.0
2007,05,16.0
2007,06,19.0
2007,07,19.0
2007,08,14.0
2007,09,16.0
2007,10,8.0
2007,11,19.0
2007,12,11.0
2008,01,19.0
2008,02,15.0
2008,03,20.0
2008,04,17.0
2008,05,7.0
2008,06,8.0
2008,07,13.0
2008,08,17.0
2008,09,11.0
2008,10,13.0
2008,11,15.0
2008,12,13.0
2009,01,11.0
2009,02,17.0
2009,03,19.0
2009,04,3.0
2009,05,16.0
2009,06,15.0
2009,07,16.0
2009,08,7.0
2009,09,10.0
2009,10,22.0
2009,11,21.0
2009,12,20.0
2010,01,15.0
2010,02,16.0
2010,03,15.0
2010,04,7.0
2010,05,17.0
2010,06,3.0
2010,07,6.0
2010,08,20.0
2010,09,16.0
2010,10,8.0
2010,11,20.0
2010,12,24.0
2011,01,18.0
2011,02,7.0
2011,03,8.0
2011,04,6.0
2011,05,13.0
2011,06,14.0
2011,07,17.0
2011,08,17.0
2011,09,10.0
2011,10,10.0
2011,11,1.0
2011,12,28.0
2012,01,18.0
2012,02,16.0
2012,03,7.0
2012,04,10.0
2012,05,11.0
2012,06,16.0
2012,07,19.0
2012,08,15.0
2012,09,13.0
2012,10,13.0
2012,11,17.0
2012,12,23.0
2013,01,21.0
2013,02,15.0
2013,03,12.0
2013,04,7.0
2013,05,16.0
2013,06,10.0
2013,07,7.0
2013,08,11.0
2013,09,16.0
2013,10,13.0
2013,11,20.0
2013,12,15.0
2014,01,15.0
2014,02,11.0
2014,03,11.0
2014,04,14.0
2014,05,13.0
2014,06,16.0
2014,07,13.0
2014,08,15.0
2014,09,15.0
2014,10,15.0
2014,11,8.0
2014,12,20.0
2015,01,22.0
2015,02,9.0
2015,03,15.0
2015,04,10.0
2015,05,10.0
2015,06,11.0
2015,07,16.0
2015,08,7.0
2015,09,15.0
2015,10,10.0
2015,11,21.0
2015,12,13.0
2016,01,19.0
2016,02,17.0
2016,03,15.0
2016,04,11.0
2016,05,10.0
2016,06,15.0
2016,07,12.0
2016,08,10.0
2016,09,4.0
2016,10,20.0
2016,11,15.0
2016,12,16.0
2017,01,12.0
2017,02,12.0
2017,03,13.0
2017,04,13.0
2017,05,9.0
2017,06,16.0
2017,07,17.0
2017,08,16.0
2017,09,13.0
2017,10,20.0
2017,11,20.0
2017,12,20.0
2018,01,18.0
2018,02,4.0
2018,03,13.0
2018,04,9.0
2018,05,5.0
2018,06,7.0
2018,07,5.0
2018,08,7.0
2018,09,10.0
2018,10,9.0
2018,11,7.0
2018,12,22.0
2019,01,17.0
2019,02,12.0
2019,03,21.0
2019,04,8.0
2019,05,13.0
2019,06,8.0
2019,07,10.0
2019,08,8.0
2019,09,13.0
2019,10,13.0
2019,11,16.0
2019,12,17.0
