GENESIS-Tabelle: 12521-0021
Foreigners: Länder, reference date, sex/age years/marital;;;;;
status, country groups/citizenship;;;;;
Statistics of foreigners;;;;;
Foreigners (number);;;;;
;;;Sex;Sex;Sex
;;;Male;Female;Total
2019-12-31;Brandenburg;America;1695;1865;3560
2019-12-31;Brandenburg;North America;780;615;1390
2019-12-31;Brandenburg;Central America and Caribbean;310;400;705
2019-12-31;Brandenburg;South America;610;855;1465
2019-12-31;Brandenburg;Asia;24090;17550;41640
2019-12-31;Brandenburg;South West Asia;13390;8910;22300
2019-12-31;Brandenburg;South and South East Asia;4530;3990;8520
2019-12-31;Brandenburg;East and Central Asia;6170;4645;10820
2019-12-31;Brandenburg;Australia and Oceania;120;90;210
2019-12-31;Brandenburg;Countries of origin of foreign workers;9345;5665;15015
2019-12-31;Brandenburg;Territory of former Yugoslavia;3470;2360;5835
2019-12-31;Brandenburg;Territory of former Serbia and Montenegro;1305;1000;2305
2019-12-31;Brandenburg;Territory of the former Soviet Union;7830;11150;18980
2019-12-31;Brandenburg;Territory of former Czechoslovakia;670;820;1490
2019-12-31;Brandenburg;United Kingdom incl. British overseas territories;665;305;970
2019-12-31;Bremen;Total;72970;62635;135600
2019-12-31;Bremen;Europe;44190;40025;84215
2019-12-31;Bremen;EU-28 (since 2013-07-01);23970;19860;43830
2019-12-31;Bremen;EU-28 third countries (since 2013-07-01);49000;42770;91770
2019-12-31;Bremen;EU-27 (until 2013-06-30);22980;19190;42170
2019-12-31;Bremen;EU-27 third countries (until 2013-06-30);49990;43445;93435
2019-12-31;Bremen;EU-25 (until 2006-12-31);15660;13100;28760
2019-12-31;Bremen;EU-25 third countries (until 2006-12-31);57310;49530;106840
2019-12-31;Bremen;EU-15 (until 2004-04-30);8535;6450;14980
2019-12-31;Bremen;EU-15 third countries (until 2004-04-30);64435;56185;120620
2019-12-31;Bremen;EC-12 (until 1994-12-31);7850;5785;13630
2019-12-31;Bremen;EC-12 third countries (until 1994-12-31);65120;56850;121970
2019-12-31;Bremen;EC-10 (until 1985-12-31);5215;3530;8745
2019-12-31;Bremen;EC-10 third countries (until 1985-12-31);67755;59105;126860
2019-12-31;Bremen;EC-9 (until 1980-12-31);3940;2695;6635
2019-12-31;Bremen;EC-9 third countries (until 1980-12-31);69030;59940;128970
2019-12-31;Bremen;EEC-6 (until 1972-12-31);3070;2175;5250
2019-12-31;Bremen;EEC-6 third countries (until 1972-12-31);69895;60455;130355
2019-12-31;Bremen;Africa;6385;4550;10930
2019-12-31;Bremen;North Africa;1425;805;2230
2019-12-31;Bremen;West Africa;3550;2745;6295
2019-12-31;Bremen;Central Africa;360;325;685
2019-12-31;Bremen;East Africa;970;570;1535
2019-12-31;Bremen;Southern Africa;80;105;190
2019-12-31;Bremen;America;1520;1770;3290
2019-12-31;Bremen;North America;720;655;1370
