STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        430;19750201;19750228;    5;  4.89;   1.21;    4.90;   -1.72;    1.91;   9.1;  12.4;  -6.6;-999;    5;    12.0;    7.1;eor
        430;19750301;19750331;    5;  5.34;   4.61;    8.70;    1.43;    2.76;  17.7;  23.2;  -3.2;-999;    5;    27.3;    4.8;eor
        430;19750401;19750430;    5;  5.59;   7.72;   11.52;    3.77;    2.75;  24.9;  19.6;  -1.7;-999;    5;    43.5;   12.1;eor
        430;19750501;19750531;    5;  4.61;  13.61;   18.63;    8.27;    2.67;  27.0;  17.0;   3.7;-999;    5;    18.3;    8.5;eor
        430;19750601;19750630;    5;  4.70;  17.04;   21.90;   11.59;    2.60;  30.0;  17.5;   3.2;-999;    5;    22.4;    7.2;eor
        430;19750701;19750731;    5;  4.61;  20.44;   25.42;   15.19;    2.38;  31.7;  17.0;  10.5;-999;    5;    75.9;   40.3;eor
        430;19750801;19750831;    5;  3.73;  20.98;   25.83;   15.55;    2.09;  33.4;  17.0;  11.3;-999;    5;    67.8;   34.3;eor
        430;19750901;19750930;    5;  3.78;  17.04;   21.94;   12.40;    2.02;  29.2;  20.6;   5.2;-999;    5;    44.6;   21.2;eor
        430;19751001;19751031;    5;  6.38;   8.35;   10.92;    6.07;    2.32;  20.8;  19.6;  -0.4;-999;    5;    19.1;    4.8;eor
        430;19751101;19751130;    5;  5.53;   3.42;    5.86;    0.90;    2.57;  13.9;  23.7;  -8.8;-999;    5;    32.6;    7.2;eor
        430;19751201;19751231;    5;  6.49;   2.79;    4.58;    0.74;    3.30;   9.3;  20.6;  -7.1;-999;    5;    34.5;    7.0;eor
        430;19760101;19760131;    5;  6.15;   0.65;    3.25;   -1.86;    3.49;   9.3;  34.0; -11.1;-999;    5;    98.1;   11.6;eor
        430;19760201;19760229;    5;  4.81;   0.36;    3.27;   -2.74;    2.69;  13.0;  14.9; -11.1;-999;    5;    13.7;    7.6;eor
        430;19760301;19760331;    5;  5.15;   1.29;    4.52;   -1.70;    2.77;  15.4;  23.2;  -7.8;-999;    5;    12.8;    4.0;eor
        430;19760401;19760430;    5;  4.70;   8.05;   12.92;    3.16;    2.54;  21.9;  18.5;  -3.1;-999;    5;     4.6;    2.1;eor
        430;19760501;19760531;    5;  4.38;  13.90;   18.87;    8.70;    2.50;  28.9;  19.6;   1.6;-999;    5;    39.8;    8.1;eor
        430;19760601;19760630;    5;  3.73;  18.58;   23.59;   12.17;    2.23;  32.5;  18.0;   7.6;-999;    5;    21.7;    7.8;eor
        430;19760701;19760731;    5;  4.17;  20.95;   25.76;   15.20;    2.23;  35.3;  17.5;  11.0;-999;    5;    21.5;    6.1;eor
        430;19760801;19760831;    5;  4.01;  17.85;   23.17;   12.20;    2.14;  29.4;  13.9;   8.4;-999;    5;    23.5;    6.9;eor
        430;19760901;19760930;    5;  5.30;  13.96;   18.29;    9.95;    2.18;  26.1;  17.0;   3.9;-999;    5;    33.2;    7.5;eor
        430;19761001;19761031;    5;  5.76;   9.79;   12.86;    7.17;    2.41;  22.2;  18.0;   1.1;-999;    5;    22.4;    9.7;eor
        430;19761101;19761130;    5;  6.04;   5.83;    7.97;    3.38;    2.46;  16.1;  14.4;  -4.9;-999;    5;    35.6;    6.1;eor
        430;19761201;19761231;    5;  6.27;   0.03;    2.11;   -2.03;    2.92;  12.5;  25.2; -11.6;-999;    5;    24.3;    3.6;eor
        430;19770101;19770131;    5;  6.86;   0.90;    2.64;   -0.99;    2.28;  11.2;  14.9;  -5.2;-999;    5;    30.2;    5.3;eor
        430;19770201;19770228;    5;  6.03;   3.06;    6.00;    0.16;    2.39;  12.5;  22.7;  -7.6;-999;    5;    40.2;    5.8;eor
        430;19770301;19770331;    5;  6.16;   6.58;    9.69;    3.54;    2.66;  17.1;  22.7;  -4.8;-999;    5;    45.7;   15.0;eor
        430;19770401;19770430;    5;  5.87;   6.61;   10.46;    2.81;    3.17;  17.2;  22.2;  -2.7;-999;    5;    69.9;   21.8;eor
        430;19770501;19770531;    5;  4.85;  13.50;   18.05;    7.65;    2.66;  28.9;  19.1;   3.2;-999;    5;    36.3;    8.3;eor
        430;19770601;19770630;    5;  5.53;  17.77;   22.33;   13.30;    2.28;  31.4;  20.1;   1.7;-999;    5;    71.0;   17.2;eor
        430;19770701;19770731;    5;  5.38;  17.49;   21.81;   13.29;    2.77;  28.4;  16.5;   8.9;-999;    5;    43.9;   10.7;eor
        430;19770801;19770831;    5;  5.98;  17.35;   21.42;   13.56;    2.03;  27.2;  13.4;   8.6;-999;    5;    60.3;   12.8;eor
        430;19770901;19770930;    5;  4.61;  12.66;   16.76;    9.21;    2.41;  24.7;  17.5;   2.4;-999;    5;    76.2;   43.5;eor
