STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        430;19631121;    5;   7.8;   8;   0;   0;eor
        430;19631122;    5;   7.0;   1;   0;   0;eor
        430;19631123;    5;   0.3;   1;   0;   0;eor
        430;19631124;    5;   0.0;   0;   0;   0;eor
        430;19631125;    5;   1.6;   1;   0;   0;eor
        430;19631126;    5;  12.2;   1;   0;   0;eor
        430;19631127;    5;   1.3;   1;   0;   0;eor
        430;19631128;    5;   0.0;   1;   0;   0;eor
        430;19631129;    5;   0.1;   1;   0;   0;eor
        430;19631130;    5;   0.0;   0;   0;   0;eor
        430;19631201;    5;   0.0;   0;   0;   0;eor
        430;19631202;    5;   0.0;   0;   0;   0;eor
        430;19631203;    5;   0.0;   0;   0;   0;eor
        430;19631204;    5;   0.0;   0;   0;   0;eor
        430;19631205;    5;   0.0;   7;   0;   0;eor
        430;19631206;    5;   0.0;   0;   0;   0;eor
        430;19631207;    5;   0.1;   7;   0;   0;eor
        430;19631208;    5;   0.0;   0;   0;   0;eor
        430;19631209;    5;   0.0;   0;   0;   0;eor
        430;19631210;    5;   0.0;   1;   0;   0;eor
        430;19631211;    5;   1.1;   7;   0;   0;eor
        430;19631212;    5;   0.1;   7;   1;   1;eor
        430;19631213;    5;   0.4;   7;   2;   1;eor
        430;19631214;    5;   0.3;   7;   4;   2;eor
        430;19631215;    5;   0.3;   7;   5;   1;eor
        430;19631216;    5;   0.0;   0;   6;   1;eor
        430;19631217;    5;   0.6;   7;   5;   0;eor
        430;19631218;    5;   0.4;   7;   7;   2;eor
        430;19631219;    5;   0.0;   7;   9;   2;eor
        430;19631220;    5;   0.0;   7;   9;   0;eor
        430;19631221;    5;   0.0;   7;   8;   0;eor
        430;19631222;    5;   0.0;   1;   8;   0;eor
        430;19631223;    5;   0.0;   7;   8;   0;eor
        430;19631224;    5;   0.0;   0;   6;   0;eor
        430;19631225;    5;   0.0;   1;   5;   0;eor
        430;19631226;    5;   3.2;   1;   4;   0;eor
        430;19631227;    5;   0.0;   0;   0;   0;eor
        430;19631228;    5;   0.0;   1;   0;   0;eor
        430;19631229;    5;   0.0;   1;   0;   0;eor
        430;19631230;    5;   0.0;   1;   0;   0;eor
        430;19631231;    5;   0.0;   0;   0;   0;eor
        430;19640101;    5;   0.0;   1;   0;   0;eor
        430;19640102;    5;   0.0;   0;   0;   0;eor
        430;19640103;    5;   0.0;   0;   0;   0;eor
        430;19640104;    5;   0.0;   1;   0;   0;eor
        430;19640105;    5;   0.0;   1;   0;   0;eor
        430;19640106;    5;   0.0;   8;   0;   0;eor
        430;19640107;    5;   1.6;   8;   0;   0;eor
        430;19640108;    5;   3.5;   8;   0;   0;eor
        430;19640109;    5;   2.4;   7;   4;   4;eor
        430;19640110;    5;   0.0;   0;   6;   2;eor
        430;19640111;    5;   0.0;   0;   6;   0;eor
        430;19640112;    5;   0.0;   0;   5;   0;eor
        430;19640113;    5;   0.0;   8;   5;   0;eor
        430;19640114;    5;   0.0;   1;   4;   0;eor
        430;19640115;    5;   0.0;   0;   4;   0;eor
        430;19640116;    5;   0.0;   0;   4;   0;eor
        430;19640117;    5;   0.0;   0;   4;   0;eor
        430;19640118;    5;   0.0;   0;   4;   0;eor
        430;19640119;    5;   0.0;   0;   4;   0;eor
        430;19640120;    5;   0.0;   0;   4;   0;eor
        430;19640121;    5;   0.0;   1;   4;   0;eor
        430;19640122;    5;   0.0;   1;   3;   0;eor
        430;19640123;    5;   0.0;   1;   0;   0;eor
        430;19640124;    5;   0.0;   1;   0;   0;eor
        430;19640125;    5;   2.6;   1;   0;   0;eor
        430;19640126;    5;   2.9;   1;   0;   0;eor
        430;19640127;    5;   0.0;   0;   0;   0;eor
        430;19640128;    5;   0.0;   7;   0;   0;eor
        430;19640129;    5;   0.0;   0;   0;   0;eor
        430;19640130;    5;   3.2;   8;   0;   0;eor
        430;19640131;    5;   1.0;   1;   0;   0;eor
        430;19640201;    5;   1.6;   1;   0;   0;eor
        430;19640202;    5;   0.6;   1;   0;   0;eor
        430;19640203;    5;   3.8;   1;   0;   0;eor
        430;19640204;    5;   4.2;   8;   0;   0;eor
        430;19640205;    5;   0.0;   7;   0;   0;eor
        430;19640206;    5;   0.0;   7;   0;   0;eor
        430;19640207;    5;   0.6;   8;   0;   0;eor
        430;19640208;    5;   0.1;   1;   0;   0;eor
        430;19640209;    5;   0.0;   0;   0;   0;eor
        430;19640210;    5;   3.9;   1;   0;   0;eor
        430;19640211;    5;   0.6;   1;   0;   0;eor
        430;19640212;    5;   0.2;   8;   0;   0;eor
        430;19640213;    5;   0.0;   7;   0;   0;eor
        430;19640214;    5;   0.0;   0;   0;   0;eor
        430;19640215;    5;   0.0;   0;   0;   0;eor
        430;19640216;    5;   0.0;   0;   0;   0;eor
        430;19640217;    5;   2.1;   7;   0;   0;eor
        430;19640218;    5;   0.4;   7;   3;   3;eor
        430;19640219;    5;   0.0;   0;   4;   1;eor
        430;19640220;    5;   0.0;   7;   3;   0;eor
        430;19640221;    5;   0.0;   0;   2;   0;eor
        430;19640222;    5;   0.0;   0;   0;   0;eor
        430;19640223;    5;   0.0;   1;   0;   0;eor
