GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2019;10042;Merzig-Wadern, Landkreis;85927;6825;-;6432;70220;43687;25676;181;3838;93;4467;-;226;4241;396;700;14096;8627;678
01.01.2019;10043;Neunkirchen, Landkreis;100589;7959;-;7614;85484;59720;24379;132;4838;128;1817;-;150;1667;359;749;14393;8841;247
01.01.2019;10044;Saarlouis, Landkreis;156049;12367;-;11901;131971;90819;39629;223;7010;276;3787;-;509;3278;691;1176;20094;12305;787
01.01.2019;10045;Saarpfalz-Kreis;115131;8963;-;8692;97092;65661;29958;99;5642;183;2856;-;529;2327;479;1030;16585;9864;727
01.01.2019;10046;Sankt Wendel, Landkreis;74797;6871;-;6582;61089;40686;19589;50;3046;69;3456;-;170;3286;285;642;12712;8112;293
01.01.2019;11000;Berlin, kreisfreie Stadt;1434141;105305;-;103162;1210790;875664;298450;2325;100659;1667;6503;-;4013;2490;8559;11980;90343;43877;3006
01.01.2019;12051;Brandenburg an der Havel, kreisfreie Stadt;40025;2285;-;2209;34241;25183;8476;32;2829;73;388;-;155;233;250;281;6322;3499;248
01.01.2019;12052;Cottbus, kreisfreie Stadt;56971;3094;-;3020;48530;36044;11702;122;4137;105;709;-;207;502;379;277;7542;4796;282
01.01.2019;12053;Frankfurt (Oder), kreisfreie Stadt;33743;1843;-;1796;28119;21387;6138;46;3084;87;418;-;102;316;233;140;3729;2266;135
01.01.2019;12054;Potsdam, kreisfreie Stadt;86761;5222;-;5130;74974;52074;21221;177;5515;103;476;-;169;307;397;689;7774;3985;382
01.01.2019;12060;Barnim, Landkreis;127564;10667;-;10334;103916;74177;27399;212;9824;176;2308;-;444;1864;637;1128;23822;14477;545
01.01.2019;12061;Dahme-Spreewald, Landkreis;127104;9620;-;9331;101804;69419;29678;198;10497;198;4141;-;781;3360;844;902;26256;16743;770
01.01.2019;12062;Elbe-Elster, Landkreis;80991;5738;-;5448;63496;44034;18205;149;6370;119;4582;-;307;4275;656;360;18002;12786;452
01.01.2019;12063;Havelland, Landkreis;113305;9251;-;8987;92209;64650;25488;139;8612;223;2309;-;384;1925;785;931;22353;12928;503
01.01.2019;12064;Märkisch-Oderland, Landkreis;143570;11590;-;11239;115158;82295;30336;132;11918;280;3773;-;675;3098;999;1027;27092;17048;910
01.01.2019;12065;Oberhavel, Landkreis;148302;12601;-;12213;120459;85518;32040;143;11406;273;2898;-;619;2279;795;1196;27170;16138;834
01.01.2019;12066;Oberspreewald-Lausitz, Landkreis;80295;5431;-;5250;65552;45961;18529;40;5806;152;2821;-;372;2449;645;353;16740;11516;543
01.01.2019;12067;Oder-Spree, Landkreis;130141;9173;-;8907;106151;75137;29082;129;10191;240;3636;-;532;3104;861;954;25012;15392;744
01.01.2019;12068;Ostprignitz-Ruppin, Landkreis;73779;5293;-;5084;57744;38432;18368;138;6565;173;3341;-;295;3046;698;562;19935;12519;410
01.01.2019;12069;Potsdam-Mittelmark, Landkreis;156968;12026;-;11600;126318;84221;39622;272;12488;265;4694;-;561;4133;1170;1317;28239;17169;537
01.01.2019;12070;Prignitz, Landkreis;58247;3527;-;3340;45173;30471;14074;108;5255;92;3603;-;271;3332;581;410;14948;9927;390
01.01.2019;12071;Spree-Neiße, Landkreis;88438;6364;-;6114;70530;51324;18252;106;7181;201;3473;-;454;3019;784;409;19707;13894;624
01.01.2019;12072;Teltow-Fläming, Landkreis;127990;10561;-;10258;101214;68965;30135;169;11047;301;3600;-;969;2631;1399;849;23029;14699;1199
01.01.2019;12073;Uckermark, Landkreis;85726;6120;-;5881;68043;49045;17843;177;6451;150;4113;-;546;3567;822;422;19194;12183;661
01.01.2019;13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13003;Rostock, kreisfreie Stadt;96564;4696;-;4593;84459;59556;23424;96;5752;99;1061;-;727;334;500;819;17714;5635;9499
01.01.2019;13004;Schwerin, kreisfreie Stadt;50214;2040;-;1986;43660;29948;12891;68;3271;54;282;-;88;194;893;427;5460;2485;111
01.01.2019;13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13052;Demmin, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13056;Müritz, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13060;Parchim, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13061;Rügen, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;13071;Mecklenburgische Seenplatte, Landkreis;179679;12387;-;11874;143288;95181;46126;314;15363;346;6852;-;1315;5537;1475;1228;39361;23821;1741
01.01.2019;13072;Rostock, Landkreis;155854;10356;-;9975;123985;79025;43169;238;13742;220;6162;-;1212;4950;1371;1160;32155;19184;1487
01.01.2019;13073;Vorpommern-Rügen, Landkreis;148533;9246;-;8868;121282;80974;38575;249;12157;167;4444;-;600;3844;1155;1208;31196;17791;650
01.01.2019;13074;Nordwestmecklenburg, Landkreis;110861;7997;-;7748;88971;58180;29387;187;8746;196;4143;-;540;3603;817;938;21154;12801;779
01.01.2019;13075;Vorpommern-Greifswald, Landkreis;153088;10771;-;10408;124481;86065;36635;269;11486;187;4992;-;466;4526;1089;856;32268;19988;628
01.01.2019;13076;Ludwigslust-Parchim, Landkreis;160383;11157;-;10693;126756;80475;44292;270;12884;301;8050;-;1044;7006;1266;1263;40560;25885;1294
01.01.2019;14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14178;Vogtlandkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14280;Meißen, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14290;Weißeritzkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14383;Muldentalkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;14511;Chemnitz, kreisfreie Stadt;145486;7966;-;7750;125328;89814;33473;147;9934;302;1247;-;443;804;864;807;12393;7150;523
01.01.2019;14521;Erzgebirgskreis;250162;20515;-;19906;202121;146099;53804;417;18649;430;7066;-;712;6354;1394;996;32885;21630;994
01.01.2019;14522;Mittelsachsen, Landkreis;223392;16989;-;16475;179114;126158;50323;433;17444;485;7924;-;1084;6840;1488;1155;36298;23926;1287
01.01.2019;14523;Vogtlandkreis;169327;12032;-;11655;136734;98687;36375;221;13184;409;6113;-;700;5413;1043;797;25092;16284;981
01.01.2019;14524;Zwickau, Landkreis;224751;15897;-;15485;184993;135387;47022;312;16975;519;5401;-;1508;3893;1173;1099;28633;17703;2178
01.01.2019;14612;Dresden, kreisfreie Stadt;262365;14914;-;14533;226278;157286;63942;569;17932;454;1196;-;359;837;1476;2131;21416;12011;429
01.01.2019;14625;Bautzen, Landkreis;221744;15283;-;14711;179717;128625;48349;371;17266;365;7640;-;906;6734;1467;1141;37554;25550;1219
01.01.2019;14626;Görlitz, Landkreis;174938;12014;-;11666;142911;107804;33226;296;12500;312;6018;-;1062;4956;1199;877;29600;20130;1477
01.01.2019;14627;Meißen, Landkreis;168177;10913;-;10538;136708;96180;38299;211;14125;549;4912;-;900;4012;1308;988;28081;18811;1171
01.01.2019;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;174541;13096;-;12612;141452;101480;37652;247;13656;313;4948;-;313;4635;1142;1160;26827;17557;456
01.01.2019;14713;Leipzig, kreisfreie Stadt;259804;13659;-;13315;227314;164475;57378;273;15804;318;1316;-;479;837;1438;1672;22102;12350;564
01.01.2019;14729;Leipzig, Landkreis;187128;13228;-;12790;151810;106224;43019;269;15113;453;5518;-;1149;4369;1190;966;34572;22313;1467
01.01.2019;14730;Nordsachsen, Landkreis;143018;9990;-;9593;114480;80541;32386;210;12286;371;4910;-;871;4039;1142;646;30761;20392;1319
01.01.2019;15001;Dessau-Roßlau, kreisfreie Stadt;48906;2906;-;2828;42131;31228;10123;37;2999;82;584;-;251;333;249;274;5902;3454;287
01.01.2019;15002;Halle (Saale), kreisfreie Stadt;107343;5436;-;5284;93915;70161;21866;194;6735;99;619;-;288;331;444;437;9594;5425;659
01.01.2019;15003;Magdeburg, kreisfreie Stadt;127101;5734;-;5575;111076;80473;28767;72;8330;226;815;-;335;480;1074;599;11298;6083;433
01.01.2019;15081;Altmarkkreis Salzwedel;64710;4238;-;4058;50516;31981;17821;210;5036;88;4034;-;158;3876;676;377;16474;11231;312
01.01.2019;15082;Anhalt-Bitterfeld, Landkreis;112010;6991;-;6693;92503;67884;23557;319;8271;223;3049;-;748;2301;877;374;19720;12212;943
01.01.2019;15083;Börde, Landkreis;130309;8759;-;8374;105068;71311;32434;135;9831;249;5452;-;1430;4022;1064;621;25282;15932;1567
01.01.2019;15084;Burgenlandkreis;125532;8721;-;8350;101799;73622;26565;176;9262;247;4654;-;691;3963;920;454;19537;12400;1047
01.01.2019;15085;Harz, Landkreis;148338;9502;-;8984;122575;84144;36560;257;10804;297;4360;-;865;3495;840;864;23731;14717;1231
01.01.2019;15086;Jerichower Land, Landkreis;67824;4553;-;4366;54310;37177;16425;104;5620;136;2551;-;514;2037;686;365;14826;9319;881
01.01.2019;15087;Mansfeld-Südharz, Landkreis;98365;7071;-;6582;79807;56375;22499;151;6743;126;3863;-;355;3508;730;330;15211;9842;457
01.01.2019;15088;Saalekreis;139771;9768;-;9382;113461;80909;30686;145;11284;559;3915;-;1122;2793;1198;523;22599;13575;1640
01.01.2019;15089;Salzlandkreis;126483;8363;-;8073;105119;76090;27397;203;8607;214;3363;-;798;2565;828;452;19857;11953;1056
01.01.2019;15090;Stendal, Landkreis;79816;4862;-;4620;63397;41547;20991;165;6731;161;3920;-;290;3630;741;431;17923;11790;457
01.01.2019;15091;Wittenberg, Landkreis;92991;6399;-;6130;75207;54653;19383;120;7184;179;3429;-;540;2889;652;471;20984;13962;724
01.01.2019;15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15153;Bernburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15154;Bitterfeld, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15159;Köthen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15171;Wittenberg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15256;Burgenlandkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15260;Mansfelder Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15265;Saalkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15266;Sangerhausen, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15268;Weißenfels, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15355;Bördekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15357;Halberstadt, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15358;Jerichower Land, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15362;Ohrekreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15363;Stendal, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15364;Quedlinburg, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15367;Schönebeck, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15369;Wernigerode, Landkreis (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;15370;Altmarkkreis Salzwedel (bis 30.06.2007);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;16051;Erfurt, kreisfreie Stadt;114709;6847;-;6658;96901;66551;28654;74;8839;261;1201;-;301;900;847;640;10895;6119;418
01.01.2019;16052;Gera, kreisfreie Stadt;52713;2684;-;2594;45760;32863;12189;78;3202;74;754;-;101;653;235;277;5197;3006;97
01.01.2019;16053;Jena, kreisfreie Stadt;51681;2958;-;2891;45012;30319;13796;65;2933;76;456;-;38;418;257;362;4160;2329;72
01.01.2019;16054;Suhl, kreisfreie Stadt;24123;1615;-;1561;20424;13866;6174;41;1569;53;352;-;23;329;122;171;2799;1717;10
01.01.2019;16055;Weimar, kreisfreie Stadt;33513;2013;-;1965;29074;19887;8662;46;1960;24;268;-;15;253;152;215;2969;1676;34
01.01.2019;16056;Eisenach, kreisfreie Stadt;25496;1561;-;1488;21686;15448;5876;97;1561;51;431;-;118;313;160;176;3257;1634;576
01.01.2019;16061;Eichsfeld, Landkreis;76735;4944;-;4554;59896;38640;20380;107;6929;214;4349;-;686;3663;510;353;13152;8511;914
01.01.2019;16062;Nordhausen, Landkreis;57383;3808;-;3609;47124;33230;13279;88;3662;93;2247;-;237;2010;454;292;9878;6094;314
01.01.2019;16063;Wartburgkreis;92290;6920;-;6426;73542;50034;22486;103;6012;156;5174;-;413;4761;539;643;15558;9956;615
01.01.2019;16064;Unstrut-Hainich-Kreis;71614;4772;-;4454;56618;38749;17014;130;6264;196;3290;-;346;2944;540;356;12884;8168;399
01.01.2019;16065;Kyffhäuserkreis;55712;4141;-;3861;44385;31272;12644;88;3588;63;3098;-;137;2961;412;217;9068;5883;188
01.01.2019;16066;Schmalkalden-Meiningen, Landkreis;95365;6564;-;6224;76045;50153;24928;161;7448;197;4514;-;337;4177;633;577;16278;10867;551
01.01.2019;16067;Gotha, Landkreis;92837;6055;-;5727;75737;52567;22120;141;7154;316;3049;-;344;2705;701;565;14765;9450;407
01.01.2019;16068;Sömmerda, Landkreis;51050;3667;-;3405;40194;27466;12253;74;4339;105;2394;-;173;2221;382;235;9276;6031;312
01.01.2019;16069;Hildburghausen, Landkreis;50188;3524;-;3325;39275;25356;13476;83;3630;84;3350;-;124;3226;326;271;10235;7050;177
01.01.2019;16070;Ilm-Kreis;71874;5267;-;5048;58474;39409;18133;96;5119;98;2445;-;237;2208;473;417;10934;6711;254
01.01.2019;16071;Weimarer Land, Landkreis;61628;4681;-;4410;48045;32618;14751;116;5545;100;2844;-;146;2698;397;346;10161;6392;187
01.01.2019;16072;Sonneberg, Landkreis;42541;3025;-;2899;34772;24938;9386;64;2716;79;1742;-;142;1600;222;140;6238;4020;179
01.01.2019;16073;Saalfeld-Rudolstadt, Landkreis;76683;5876;-;5621;60204;41610;17795;215;5799;100;4088;-;167;3921;501;397;13196;8396;211
01.01.2019;16074;Saale-Holzland-Kreis;62976;4441;-;4255;49320;33522;14962;136;4766;130;3823;-;328;3495;490;361;10931;7096;439
01.01.2019;16075;Saale-Orla-Kreis;65764;4631;-;4410;50304;33773;15944;60;5268;196;5039;-;270;4769;462;300;14548;9853;641
01.01.2019;16076;Greiz, Landkreis;77549;5587;-;5386;60390;41612;17927;108;6823;232;4013;-;574;3439;628;385;13522;8749;492
01.01.2019;16077;Altenburger Land, Landkreis;62515;4500;-;4388;51330;38057;12601;86;4548;102;1639;-;278;1361;412;275;9927;6526;400
__________
"Quelle: Kraftfahrt-Bundesamt, Flensburg

Ab 1.1.2008:
Ohne vorübergehend stillgelegte Fahrzeuge (etwa 12 %).
Die Werte vom 1.1.2008 sind daher mit den früheren Werten
nicht mehr vergleichbar."
© Statistisches Bundesamt (Destatis), 2020
Stand: 10.06.2020 / 09:29:34
