GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2019;03401;Delmenhorst, kreisfreie Stadt;47796;3029;-;2933;41886;29274;11633;64;2128;35;543;-;240;303;146;452;5615;3105;376
01.01.2019;03402;Emden, kreisfreie Stadt;28543;2168;-;2105;24360;16483;7401;55;1372;18;467;-;157;310;121;445;4002;2048;387
01.01.2019;03403;Oldenburg (Oldenburg), kreisfreie Stadt;99842;6000;-;5901;87801;54814;30400;115;4848;105;700;-;220;480;378;1421;11382;5931;275
01.01.2019;03404;Osnabrück, kreisfreie Stadt;97144;5589;-;5426;83704;54297;27275;155;5718;303;1451;-;655;796;527;853;9808;5101;1027
01.01.2019;03405;Wilhelmshaven, kreisfreie Stadt;46303;3345;-;3275;39896;28341;10689;64;2416;46;376;-;44;332;206;608;4802;2607;82
01.01.2019;03451;Ammerland, Landkreis;99056;6875;-;6696;78581;48457;28488;201;6801;247;6047;-;438;5609;551;1215;19277;11964;656
01.01.2019;03452;Aurich, Landkreis;144772;11900;-;11527;114995;73119;38790;264;8837;164;8128;-;463;7665;648;2180;28402;17450;681
01.01.2019;03453;Cloppenburg, Landkreis;126021;7271;-;6801;98322;49920;46559;235;9605;409;9763;-;1197;8566;825;942;27150;18359;1684
01.01.2019;03454;Emsland, Landkreis;248326;16349;-;15560;196771;104581;88082;371;16114;580;17155;-;2617;14538;1566;2353;59064;38829;4646
01.01.2019;03455;Friesland, Landkreis;78300;6271;-;6096;64705;41365;21653;50;3625;103;3289;-;276;3013;360;1226;13530;8393;506
01.01.2019;03456;Grafschaft Bentheim, Landkreis;102017;6508;-;6276;82599;41846;38018;91;6064;174;6166;-;704;5462;589;1158;20506;12835;1065
01.01.2019;03457;Leer, Landkreis;125111;9705;-;9365;101191;61966;36593;164;6994;180;6545;-;575;5970;512;1839;23372;14096;771
01.01.2019;03458;Oldenburg, Landkreis;102563;7812;-;7582;82110;50270;29901;91;5653;269;6353;-;733;5620;544;1337;21438;13298;1143
01.01.2019;03459;Osnabrück, Landkreis;278929;19683;-;18905;226466;144097;78202;465;15063;793;15955;-;1654;14301;1297;2286;47651;29964;2556
01.01.2019;03460;Vechta, Landkreis;108309;6531;-;6206;85715;46877;37361;239;7742;406;7310;-;1986;5324;772;616;21941;13917;3403
01.01.2019;03461;Wesermarsch, Landkreis;65548;4460;-;4300;52807;32994;18510;127;3602;117;4206;-;427;3779;346;841;15271;8803;1002
01.01.2019;03462;Wittmund, Landkreis;45869;3562;-;3426;35470;22373;12191;84;2644;45;3898;-;91;3807;211;565;9593;6328;142
01.01.2019;04011;Bremen, kreisfreie Stadt;279614;17082;-;16720;242480;161560;75723;364;15033;399;2912;-;1690;1222;1743;3178;29021;14361;3478
01.01.2019;04012;Bremerhaven, kreisfreie Stadt;57557;3185;-;3102;50034;34173;14676;96;3449;89;525;-;318;207;268;482;6025;3445;805
01.01.2019;05111;Düsseldorf, kreisfreie Stadt;356351;22611;-;22054;310614;189583;113441;660;16800;338;1612;-;556;1056;4054;2220;16778;7392;1556
01.01.2019;05112;Duisburg, kreisfreie Stadt;263632;18177;-;17797;229610;164453;58316;236;12272;614;2325;-;1687;638;1012;1750;21517;10693;3363
01.01.2019;05113;Essen, kreisfreie Stadt;330129;21601;-;21092;287883;206637;73859;491;16765;405;1943;-;862;1081;1446;2020;20607;9247;1290
01.01.2019;05114;Krefeld, kreisfreie Stadt;134982;8884;-;8633;118372;82017;33016;168;6039;138;1079;-;360;719;440;1183;10573;4856;871
