Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91100;91112;2;113;3;1;1;0;3;5;1;0;0;3;96;20080101
AT1;AT13;AT130;91100;91113;2;2025;75;39;49;74;21;20;21;0;17;169;1540;20080101
AT1;AT13;AT130;91100;91199;2;6;0;0;1;0;0;0;0;0;0;1;4;20080101
AT1;AT13;AT130;91200;91201;2;1865;155;99;36;48;75;34;18;1;8;325;1066;20080101
AT1;AT13;AT130;91200;91202;2;8635;774;520;140;311;311;121;72;6;53;1187;5140;20080101
AT1;AT13;AT130;91200;91203;2;2615;182;203;36;46;46;30;17;1;21;337;1696;20080101
AT1;AT13;AT130;91200;91204;2;4097;362;217;77;119;157;87;34;0;23;596;2425;20080101
AT1;AT13;AT130;91200;91205;2;4219;291;249;72;105;147;45;36;1;14;529;2730;20080101
AT1;AT13;AT130;91200;91206;2;4497;442;194;161;136;158;46;50;3;23;596;2688;20080101
AT1;AT13;AT130;91200;91207;2;3545;131;163;67;53;46;27;30;2;13;367;2646;20080101
AT1;AT13;AT130;91200;91208;2;2123;191;119;26;41;102;21;13;1;8;264;1337;20080101
AT1;AT13;AT130;91200;91209;2;3947;163;266;41;68;77;25;28;7;5;626;2641;20080101
AT1;AT13;AT130;91200;91210;2;4167;173;156;76;78;139;33;28;5;6;450;3023;20080101
AT1;AT13;AT130;91200;91211;2;4963;116;73;136;85;45;36;39;0;17;419;3997;20080101
AT1;AT13;AT130;91200;91299;2;18;1;0;0;0;0;1;0;0;0;1;15;20080101
AT1;AT13;AT130;91300;91301;2;250;7;1;16;0;3;3;1;0;2;26;191;20080101
AT1;AT13;AT130;91300;91302;2;3308;72;16;186;43;12;12;29;1;35;428;2474;20080101
AT1;AT13;AT130;91300;91303;2;4742;116;32;230;88;45;34;48;4;22;505;3618;20080101
AT1;AT13;AT130;91300;91304;2;5400;60;33;216;90;30;29;50;1;25;583;4283;20080101
AT1;AT13;AT130;91300;91305;2;2322;62;9;96;29;20;20;21;0;16;218;1831;20080101
AT1;AT13;AT130;91300;91306;2;1326;31;2;52;23;18;9;10;0;6;135;1040;20080101
AT1;AT13;AT130;91300;91307;2;1753;31;31;50;25;24;10;25;0;11;177;1369;20080101
AT1;AT13;AT130;91300;91308;2;3727;63;22;121;44;22;30;38;4;20;391;2972;20080101
AT1;AT13;AT130;91300;91309;2;3043;77;40;62;49;20;23;23;0;36;316;2397;20080101
AT1;AT13;AT130;91300;91310;2;30;0;2;0;0;1;0;1;0;0;0;26;20080101
AT1;AT13;AT130;91300;91311;2;2230;5;0;78;21;8;7;9;0;14;177;1911;20080101
AT1;AT13;AT130;91300;91399;2;85;1;0;5;2;1;1;1;0;0;14;60;20080101
AT1;AT13;AT130;91400;91401;2;3347;236;93;72;108;100;19;20;1;16;332;2350;20080101
AT1;AT13;AT130;91400;91402;2;4206;489;272;87;136;213;86;33;4;18;581;2287;20080101
AT1;AT13;AT130;91400;91403;2;4502;209;96;171;94;86;48;45;0;22;498;3233;20080101
AT1;AT13;AT130;91400;91404;2;9952;709;352;195;232;314;104;77;8;34;1011;6916;20080101
